Episode,Total Reward,Steps
1,-617,638
2,-235,256
3,-83,104
4,-503,524
5,-44,65
6,-80,101
7,-318,339
8,-228,249
9,-264,285
10,-109,130
11,-604,625
12,-169,190
13,-416,437
14,-31,52
15,-125,146
16,-219,240
17,-79,100
18,-122,143
19,-285,306
20,-196,217
21,-77,98
22,-36,57
23,-318,339
24,-211,232
25,-200,221
26,-100,121
27,-138,159
28,-73,94
29,-31,52
30,-110,131
31,-97,118
32,-104,125
33,-215,236
34,-175,196
35,-37,58
36,-44,65
37,-113,134
38,-189,210
39,-86,107
40,-105,126
41,-104,125
42,-104,125
43,-288,309
44,-51,72
45,-25,46
46,-160,181
47,-62,83
48,-45,66
49,-108,129
50,-37,58
51,-43,64
52,-154,175
53,-48,69
54,-28,49
55,-61,82
56,-73,94
57,-56,77
58,-230,251
59,-45,66
60,-64,85
61,-72,93
62,-161,182
63,-25,46
64,-25,46
65,-101,122
66,-82,103
67,-88,109
68,-130,151
69,-10,31
70,-28,49
71,-40,61
72,-110,131
73,-63,84
74,-130,151
75,-15,36
76,-18,39
77,-45,66
78,-99,120
79,-60,81
80,-31,52
81,-60,81
82,-114,135
83,-57,78
84,-70,91
85,-52,73
86,-74,95
87,-64,85
88,-41,62
89,-101,122
90,-44,65
91,-53,74
92,-19,40
93,-63,84
94,-26,47
95,-186,207
96,-66,87
97,-33,54
98,-7,28
99,-42,63
100,-9,30
101,-43,64
102,-65,86
103,-45,66
104,-39,60
105,-83,104
106,-71,92
107,-30,51
108,-95,116
109,-40,61
110,-33,54
111,-51,72
112,-73,94
113,-84,105
114,-10,31
115,-60,81
116,-47,68
117,-75,96
118,-70,91
119,-85,106
120,-48,69
121,-44,65
122,-16,37
123,-23,44
124,-16,37
125,-18,39
126,-91,112
127,-9,30
128,-27,48
129,-51,72
130,-17,38
131,-52,73
132,-33,54
133,-35,56
134,-66,87
135,-22,43
136,-30,51
137,-61,82
138,-35,56
139,-53,74
140,-25,46
141,-33,54
142,-49,70
143,-86,107
144,-27,48
145,-19,40
146,-90,111
147,-36,57
148,-37,58
149,-13,34
150,-30,51
151,-28,49
152,-24,45
153,-43,64
154,-70,91
155,-38,59
156,-48,69
157,-19,40
158,-55,76
159,-31,52
160,-87,108
161,-28,49
162,-32,53
163,-12,33
164,-8,29
165,-15,36
166,-50,71
167,-28,49
168,-19,40
169,-9,30
170,-10,31
171,-19,40
172,-31,52
173,-90,111
174,-55,76
175,-20,41
176,-84,105
177,-40,61
178,-17,38
179,-7,28
180,-21,42
181,-39,60
182,-15,36
183,-30,51
184,-15,36
185,-44,65
186,-14,35
187,-33,54
188,-47,68
189,-39,60
190,-67,88
191,-10,31
192,-10,31
193,-41,62
194,-11,32
195,-54,75
196,-33,54
197,-26,47
198,-22,43
199,-14,35
200,-39,60
201,-40,61
202,-39,60
203,-44,65
204,-26,47
205,-10,31
206,-7,28
207,-43,64
208,-16,37
209,-17,38
210,-52,73
211,-21,42
212,-36,57
213,-18,39
214,-12,33
215,-25,46
216,-14,35
217,-49,70
218,-6,27
219,-20,41
220,-19,40
221,-13,34
222,-9,30
223,-20,41
224,-85,106
225,-14,35
226,-17,38
227,-1,22
228,-30,51
229,-30,51
230,-9,30
231,-31,52
232,-51,72
233,-32,53
234,-10,31
235,-23,44
236,-7,28
237,-47,68
238,-8,29
239,-15,36
240,-47,68
241,-6,27
242,-23,44
243,-58,79
244,-15,36
245,-44,65
246,-31,52
247,-26,47
248,-6,27
249,-8,29
250,-29,50
251,-32,53
252,-35,56
253,-21,42
254,-17,38
255,-19,40
256,-18,39
257,-23,44
258,-16,37
259,-28,49
260,-42,63
261,-12,33
262,-25,46
263,-20,41
264,-4,25
265,-25,46
266,-20,41
267,1,20
268,-14,35
269,-20,41
270,-36,57
271,-3,24
272,-29,50
273,-14,35
274,-2,23
275,-7,28
276,-11,32
277,-14,35
278,-57,78
279,-18,39
280,-14,35
281,-39,60
282,-30,51
283,-21,42
284,-17,38
285,-3,24
286,-13,34
287,-23,44
288,-19,40
289,-9,30
290,-15,36
291,-4,25
292,2,19
293,-12,33
294,-29,50
295,-71,92
296,-12,33
297,-19,40
298,-17,38
299,-4,25
300,-9,30
301,-5,26
302,-28,49
303,-29,50
304,-11,32
305,-40,61
306,-4,25
307,-15,36
308,-36,57
309,-15,36
310,-22,43
311,-12,33
312,-10,31
313,-33,54
314,-30,51
315,-29,50
316,-14,35
317,-26,47
318,-9,30
319,-29,50
320,-16,37
321,-6,27
322,-31,52
323,-12,33
324,-10,31
325,-9,30
326,-4,25
327,-15,36
328,-15,36
329,-9,30
330,-7,28
331,-28,49
332,-2,23
333,-15,36
334,-27,48
335,-32,53
336,-25,46
337,-17,38
338,-12,33
339,-25,46
340,-9,30
341,-1,22
342,-8,29
343,-18,39
344,-5,26
345,-4,25
346,-2,23
347,-6,27
348,-29,50
349,1,20
350,-11,32
351,-8,29
352,-2,23
353,-6,27
354,-36,57
355,-12,33
356,-11,32
357,-28,49
358,-12,33
359,-29,50
360,-31,52
361,-26,47
362,-12,33
363,-7,28
364,-9,30
365,-12,33
366,-22,43
367,-8,29
368,-14,35
369,-21,42
370,-12,33
371,-2,23
372,-20,41
373,-16,37
374,-1,22
375,-30,51
376,-4,25
377,-1,22
378,-4,25
379,-18,39
380,-5,26
381,-19,40
382,-30,51
383,-7,28
384,-9,30
385,0,21
386,-33,54
387,-10,31
388,-15,36
389,-4,25
390,-13,34
391,-8,29
392,-7,28
393,-31,52
394,-37,58
395,-4,25
396,-1,22
397,0,21
398,-5,26
399,-9,30
400,-11,32
401,-4,25
402,-10,31
403,-22,43
404,-20,41
405,-26,47
406,2,19
407,-12,33
408,-16,37
409,-7,28
410,-2,23
411,-33,54
412,-41,62
413,-14,35
414,-4,25
415,-9,30
416,-15,36
417,-7,28
418,-3,24
419,0,21
420,-9,30
421,-2,23
422,-13,34
423,-8,29
424,2,19
425,-9,30
426,-13,34
427,-1,22
428,-3,24
429,-4,25
